Type,PnL,ETH_PnL,BTC_PnL
Short,0.909575883604648,0.6221750278341044,0.28740085577054364
Long,-1.0250324079588273,-0.8713639037142666,-0.15366850424456066
Short,-1.1695050878182145,-1.0149448818898335,-0.15456020592838093
Long,0.5555316445649161,0.16936264402665302,0.38616900053826314
Short,0.9007698161631336,0.4472145486673192,0.4535552674958144
Short,0.3592981870541372,0.27241693999193645,0.08688124706220071
Long,-1.0017417635257457,-1.0437148032787333,0.04197303975298761
Long,0.8359076532397017,0.6565694213429295,0.17933823189677225
Long,0.11330759907416588,1.2417161238897547,-1.1284085248155888
Long,0.47735877666043164,0.7633208224383278,-0.28596204577789613
Short,1.547210150582636,-0.9052382332302183,2.4524483838128543
Long,-1.0264925783009051,2.5975388241581507,-3.624031402459056
Long,0.4270814855574216,-0.48875281435972345,0.915834299917145
Long,0.6072940275591595,0.3063689492071682,0.30092507835199134
Long,0.3545823917958719,-1.1402742469880154,1.4948566387838873
Short,-2.63637195213275,1.173802542523497,-3.810174494656247
Short,0.2789555396697557,1.1193376097812593,-0.8403820701115036
Short,0.2557415775505949,-0.8825926507942656,1.1383342283448605
Long,0.4809505941403349,-1.3733364839319226,1.8542870780722576
Short,-1.1153804638795854,-2.407811547701325,1.2924310838217394
Short,-1.1237337298501417,-0.3909151658948043,-0.7328185639553375
Long,0.2794143058089554,-0.1958030871650404,0.4752173929739958
Short,0.5827761600448094,3.523547348392448,-2.9407711883476386
Short,0.08732345560304511,1.1131311324085367,-1.0258076768054916
Long,-1.6731971244792567,-0.7150023414986534,-0.9581947829806032
Long,0.3269873491208525,-0.985268956920267,1.3122563060411194
Short,0.386574951057993,1.5695257862520722,-1.1829508351940792
Short,0.2190328989634544,0.0054159391247784365,0.21361695983867596
Short,-0.49323515444404037,-0.6145513285643204,0.12131617412028
Short,0.8731155988768968,1.982196043165507,-1.1090804442886102
Long,-1.1006788995215642,0.5372254232689435,-1.6379043227905077
Short,-1.2914107378909878,-2.1099079754600485,0.8184972375690608
Long,0.023176929038538296,-0.8838655709615214,0.9070425000000597
Short,-1.0270748278141137,-0.9383258940018152,-0.08874893381229848
Long,0.9197654411236542,1.8097950786607158,-0.8900296375370615
Long,-0.6906918737594254,1.5385775127397423,-2.2292693864991677
Short,0.49443283781104647,-0.03273301291315674,0.5271658507242032
Short,-1.4144776649571824,-2.3625288741692554,0.9480512092120731
Short,0.17175181611146118,-0.6638365328109845,0.8355883489224457
Long,0.40573430417051454,-0.07084770453213717,0.4765820087026517
Short,-1.0246053784866977,-1.6833165782333974,0.6587111997466998
Short,-0.15326592585171706,-0.14095870447977563,-0.012307221371941424
Long,0.2370432643288332,0.4601180880721772,-0.223074823743344
Short,-0.11855487020690003,0.8563876930964918,-0.9749425633033918
Long,0.9056808566650902,5.188624848321819,-4.282943991656729
Long,-0.05784815810426891,1.2746576309944129,-1.3325057890986818
Short,0.768881392622288,-0.04366188204726799,0.812543274669556
Short,0.2523803732230804,-0.23479794797312584,0.48717832119620624
Long,0.27640635807423264,0.24027804566382588,0.03612831241040677
Short,0.5025854738942802,-0.5950587743960246,1.0976442482903048
Short,0.051077602313168935,0.692833654292017,-0.6417560519788481
Short,-0.16004511531782883,0.6158669671518477,-0.7759120824696766
Long,0.3170190395308805,-0.8012594120820229,1.1182784516129034
Long,-0.061792405563334984,1.2229732255951131,-1.284765631158448
Short,0.344110879149372,0.3592439214235228,-0.015133042274150825
Long,-0.3242729680266253,-0.7735418884246819,0.44926892039805655
Long,0.6294816832570288,1.1453492773383742,-0.5158675940813454
Long,0.0076791193517276035,-0.3593573703725094,0.367036489724237
Long,0.31842181674223397,0.5833790931989578,-0.2649572764567238
Long,-0.49229746524066087,-0.7367781749712979,0.2444807097306371
Short,-0.20728741292772843,0.06554755753175959,-0.272834970459488
Long,0.37317363561294,0.12006165717985796,0.25311197843308203
Short,0.3533702891651774,0.666935689841809,-0.3135654006766316
Long,0.7768597476076742,2.124139733496901,-1.3472799858892268
Short,-0.7668747381502479,-2.0580154760736136,1.2911407379233657
Long,-0.9344707498323153,-0.294475021403973,-0.6399957284283423
Short,0.2579907148197671,-1.6207969908809763,1.8787877057007434
Short,-1.0187107747930126,-0.513669109329691,-0.5050416654633216
Short,0.014074751090503268,1.1290101176776712,-1.114935366587168
Long,0.9002086127258125,1.845226881726315,-0.9450182690005026
Short,-0.6281565210334745,0.09235005595324117,-0.7205065769867157
Long,-1.09625476433399,-2.573852931093599,1.4775981667596092
Long,0.5198245105436439,-0.06545495603598438,0.5852794665796283
Short,-0.27648577759587023,1.050407683767138,-1.3268934613630081
Long,-0.4919236993630124,-1.2670174706591975,0.7750937712961851
Short,-0.38145417710328655,0.9081997056553842,-1.2896538827586708
Long,-1.758360228445139,-3.445041202733987,1.6866809742888482
Long,-1.0843738902120537,-1.8338197843470685,0.749445894135015
Long,0.606993485995269,0.40530360008544747,0.20168988590982154
Short,-0.25552253594911856,0.771418421052552,-1.0269409570016705
Short,0.4319192960314361,0.34938086373579835,0.0825384322956377
